target pageflip timestamp,pageflip timestamp,render start,render end,safety margin,refresh duration,vrr,tearing,predicted render time
8036323364999,8036340188000,8036306018645,8036314677837,25045187,16668333,0,0,22175399
8036356780999,8036373608000,8036337345868,8036345180548,28737497,16668333,0,0,22117132
8036373524666,8036390314000,8036340169440,8036352853239,31417077,16668333,0,0,22176256
8036406944666,8036407021000,8036373747074,8036378650740,27963287,16668333,0,0,22161808
8036423650666,8036440437000,8036406579244,8036413668539,26037568,16668333,0,0,22341462
8036473694332,8036473850000,8036440611420,8036451607339,22137289,16668333,0,0,22223135
8036507186666,8036507271000,8036474810762,8036481127669,25850123,16668333,0,0,22357535
8036540607666,8036540684000,8036508440652,8036514905795,25257087,16668333,0,0,22204001
8036574020666,8036574100000,8036542314183,8036550840788,22485452,16668333,0,0,22065555
8036607436666,8036607515000,8036577250859,8036584207464,22772575,16668333,0,0,22083375
8036640851666,8036640931000,8036611871511,8036620574903,19569858,16668333,0,0,21976558
8036674267666,8036674346000,8036646418705,8036653936482,19566800,16668333,0,0,22004210
8036707604332,8036774597000,8036680015900,8036688410975,21924227,16668333,0,0,22004210
8036774355998,8036791305000,8036753727222,8036765804762,25229055,16668333,0,0,21932478
8036807933666,8036808014000,8036781697206,8036786991605,20145668,16668333,0,0,21921894
8036841350666,8036841425000,8036816131882,8036821100280,20329024,16668333,0,0,21934583
8036874761666,8036891551000,8036850659698,8036859085425,30609432,16668333,0,0,21674688
8036908098332,8036924967000,8036885207588,8036892547422,30595948,16668333,0,0,21674688
8036941555999,8036958381000,8036919539202,8036929203260,28618144,16668333,0,0,21665790
8036974971999,8036991800000,8036953822451,8036959329987,30055454,16668333,0,0,21571141
8037008385999,8037025218000,8036987640052,8036994261928,29552159,16668333,0,0,21656706
8037041804999,8037058628000,8037021847115,8037032030544,26088946,16668333,0,0,21432036
8037058554666,8037075338000,8037028127311,8037037789055,29832776,16668333,0,0,21292105
8037091964666,8037092048000,8037058772070,8037065930736,25552909,16668333,0,0,21424729
8037108674666,8037125466000,8037090704814,8037099745715,24883709,16668333,0,0,21463852
8037158802666,8037158880000,8037125801687,8037133402155,24570308,16668333,0,0,21432663
8037192216666,8037192293000,8037159947861,8037167245693,25047546,16668333,0,0,21342720
8037225629666,8037225708000,8037194591075,8037201328249,23932504,16668333,0,0,21233919
8037342386331,8037342663000,8037310289729,8037318288212,23991241,16668333,0,0,21090293
8037375999666,8037376079000,8037343623989,8037351434650,24568231,16668333,0,0,20911960
8037409415666,8037409500000,8037378022874,8037384583294,24277520,16668333,0,0,20842219
8037442836666,8037442912000,8037412665874,8037422355893,19917224,16668333,0,0,20688609
8037476248666,8037476332000,8037446987490,8037454035437,22233821,16668333,0,0,20772271
8037509668666,8037509742000,8037481322663,8037486002194,23181035,16668333,0,0,20648397
8037543078666,8037543161000,8037515816105,8037520075909,22332523,16668333,0,0,20370160
8037576497666,8037593282000,8037550483717,8037563087683,28044433,16668333,0,0,20077998
8037609834332,8037609992000,8037585348036,8037590763375,18387952,16668333,0,0,20077998
8037643328666,8037660117000,8037619970826,8037625654738,27782491,16668333,0,0,20469423
8037676665332,8037693529000,8037654459689,8037661484488,26605674,16668333,0,0,20469423
8037693453666,8037710241000,8037666604345,8037671671029,28624542,16668333,0,0,20152519
8037726865666,8037726947000,8037693749702,8037698583892,27726563,16668333,0,0,20045569
8037743577666,8037760365000,8037723763116,8037729332195,27158238,16668333,0,0,19928055
8037776951999,8037793781000,8037758596082,8037767946876,24974166,16668333,0,0,19805675
8037810369999,8037827194000,8037793020437,8037801075480,25884633,16668333,0,0,19616042
8037827117666,8037843906000,8037807874092,8037813794373,27250019,16668333,0,0,19710994
8037860530666,8037944149000,8037827303108,8037832216286,18204249,16668333,0,0,19694220
8037977485666,8037977566000,8037943879014,8037948617133,28723117,16668333,0,0,18909852
8037994153999,8038010984000,8037964956642,8037970417656,30830838,16668333,0,0,18909852
8038027570999,8038027693000,8037999196005,8038002477305,25166082,16668333,0,0,18699176
8038061029666,8038061104000,8038033652064,8038040697091,20281122,16668333,0,0,18400803
8038077697999,8038077812000,8038043864397,8038051291700,26324231,16668333,0,0,18400803
8038094440666,8038111227000,8038068112642,8038073080645,29812150,16668333,0,0,18373681
8038127816999,8038127936000,8038102675612,8038109342412,17676027,16668333,0,0,18373889
8038161272666,8038178059000,8038137216148,8038145514606,28400850,16668333,0,0,18172758
8038194609332,8038211475000,8038171786870,8038179551000,29134886,16668333,0,0,18172758
8038228063999,8038244895000,8038205516281,8038211103279,28443255,16668333,0,0,18285161
8038261479999,8038278309000,8038240622147,8038247596630,28057190,16668333,0,0,18304785
8038294899999,8038311724000,8038274378311,8038282248213,28090057,16668333,0,0,18162324
8038328313999,8038345140000,8038308913733,8038316709742,27940321,16668333,0,0,18121493
8038361728999,8038378555000,8038342666104,8038351805834,26343276,16668333,0,0,18149269
8038395144999,8038411970000,8038377513274,8038385523219,26641208,16668333,0,0,18165457
8038411891666,8038428681000,8038393161894,8038398936794,28566016,16668333,0,0,18281387
